9,17,12
9,-17,12
9,16,25
6,-18,23
5,16,38
4,-19,36
4,15,53
4,-20,49
9,17,63
3,-18,65
8,14,79
3,-20,76
4,17,89
9,-18,91
8,10,57
2,10,92
9,24,58
11,22,93
11,26,45
2,40,77
3,11,38
4,38,62
4,0,47
9,34,47
9,0,33
6,36,35
5,0,21
6,35,21
10,0,9
7,34,8
4,1,-6
5,36,-2
13,0,-16
6,34,-17
2,1,-32
5,37,-28
7,28,-19
5,28,15
5,41,-19
7,41,15
1,57,-6
15,46,27
7,56,9
3,31,34
2,53,25
7,18,25
6,51,40
9,16,37
3,53,50
4,18,52
14,50,67
7,15,63
5,51,79
5,15,76
3,52,90
9,17,91
2,50,104
3,15,102
7,46,70
2,46,105
11,57,69
9,59,104
6,65,59
6,75,92
7,52,50
5,75,77
4,37,59
5,72,59
4,38,45
4,73,48
6,37,34
12,72,33
8,38,20
11,74,22
6,39,6
7,74,9
12,37,-3
7,72,-5
9,40,-20
4,75,-16
11,37,-29
3,73,-32
