4,17,12
8,-17,12
3,15,27
7,-19,23
7,17,37
11,-17,38
9,15,53
5,-19,49
6,17,63
9,-17,65
6,15,79
5,-20,75
9,17,88
5,-18,90
5,11,54
4,11,90
4,24,55
7,22,91
8,30,43
10,40,77
7,15,36
5,40,61
6,1,45
2,37,45
5,0,33
5,36,32
9,3,17
12,38,20
3,1,7
8,36,5
9,3,-8
6,38,-5
6,1,-18
9,36,-20
2,3,-34
5,39,-31
8,33,-34
3,33,0
9,48,-32
5,45,2
9,63,-20
5,51,13
10,62,-3
6,36,20
9,58,11
13,23,11
4,58,24
7,23,24
9,59,36
7,24,37
6,57,52
5,21,48
9,59,61
10,24,64
3,58,75
5,23,76
5,59,87
6,24,89
4,52,41
4,51,76
7,65,42
8,63,77
10,67,29
15,81,61
6,51,23
4,79,45
6,40,31
7,75,31
5,41,17
8,76,19
5,40,6
3,75,5
2,39,-5
10,74,-7
13,42,-22
9,77,-18
6,39,-31
9,75,-33
