counts,x,y
3,17,12
5,-17,12
8,16,26
7,-18,24
6,18,37
6,-16,39
4,16,53
8,-19,50
16,18,63
4,-17,65
3,15,79
8,-19,76
3,16,91
9,-19,89
10,17,102
5,-18,103
6,10,72
12,10,108
10,20,72
18,21,108
43,15,64
8,24,98
9,6,57
97,25,87
49,-3,54
25,23,77
54,-15,62
55,19,62
12,-15,49
12,20,50
10,-16,38
6,19,37
7,-14,23
6,20,26
6,-16,13
6,19,11
7,-14,-1
7,20,0
5,-15,-12
10,19,-13
4,-13,-27
5,21,-24
2,15,-30
7,15,4
4,24,-31
3,25,4
5,28,-21
3,20,12
8,29,-11
9,12,19
4,27,0
2,2,23
9,24,14
14,-11,14
10,24,27
10,-10,27
4,24,40
1,-11,40
10,25,52
4,-10,53
8,23,66
19,-12,64
7,23,79
5,-12,77
7,24,90
12,-10,92
11,22,106
5,-13,103
8,17,75
6,17,110
5,26,74
8,27,110
5,20,66
9,30,100
4,12,60
5,31,89
5,2,56
4,29,79
7,-9,65
5,25,65
9,-9,51
8,26,53
9,-10,40
5,25,39
12,-8,25
3,26,28
8,-8,13
6,27,15
7,-10,2
9,25,0
4,-7,-13
5,27,-10
10,-8,-25
9,27,-23
4,-7,-38
9,27,-36
9,22,-43
4,22,-7
7,35,-41
4,31,-6
10,37,-31
3,24,1
3,37,-20
6,15,7
1,34,-10
5,4,9
7,30,1
6,-5,1
2,28,16
11,-6,13
3,30,27
5,-5,27
5,28,41
10,-6,39
7,28,54
2,-7,52
11,30,64
8,-5,67
18,27,81
9,-7,77
9,30,91
5,-5,93
3,23,62
7,23,97
12,32,61
5,34,96
6,26,53
4,37,87
7,17,47
8,37,76
9,6,44
6,35,66
14,-4,52
10,31,52
7,-4,40
8,30,39
7,-3,26
4,32,28
7,-4,15
7,30,14
8,-2,0
8,32,2
4,-4,-10
3,31,-11
7,-2,-25
6,32,-22
4,-4,-35
4,31,-37
8,-2,-51
9,33,-48
