counts,x,y
7,17,12
6,-17,12
4,16,26
6,-18,24
11,16,38
4,-18,37
9,17,49
9,-17,51
12,15,65
11,-19,62
4,17,75
2,-18,76
3,15,90
8,-19,88
5,10,58
8,10,94
29,21,59
13,19,95
21,16,50
76,23,85
16,7,44
48,25,74
10,-2,39
9,23,64
9,-15,48
13,20,48
12,-16,37
6,19,35
5,-14,22
11,21,24
9,-15,11
9,19,10
5,-14,-3
7,21,0
8,-15,-13
3,19,-15
11,-14,-28
4,21,-26
3,15,-31
9,15,4
10,24,-31
8,26,3
5,28,-22
7,20,12
5,29,-11
10,12,19
5,27,-1
3,1,23
4,24,14
10,-11,14
5,22,29
11,-12,26
5,24,39
8,-10,41
13,22,55
7,-13,52
8,24,65
5,-10,67
15,22,81
8,-13,78
6,24,91
6,-11,94
5,15,78
3,15,114
7,26,79
9,25,115
5,21,70
3,28,105
9,12,63
11,30,94
11,2,59
1,28,84
7,-10,68
6,25,68
5,-8,54
5,26,56
3,-10,43
8,24,41
4,-10,30
8,24,29
5,-9,15
3,26,18
5,-10,4
7,24,3
12,-11,-7
7,24,-9
6,-8,-23
9,26,-19
3,20,-29
8,20,6
5,29,-29
5,30,5
9,33,-20
1,24,14
6,34,-9
7,16,20
9,32,1
6,6,24
13,29,15
9,-6,15
7,30,27
7,-5,29
13,27,43
4,-7,39
8,28,54
2,-7,53
5,29,65
8,-6,67
4,27,80
4,-7,78
15,29,91
6,-6,92
6,27,105
4,-7,103
6,22,73
9,22,109
9,33,74
6,31,110
2,27,65
5,35,100
12,19,59
5,36,89
7,9,54
8,34,79
7,-3,63
6,31,63
6,-2,49
3,32,52
10,-4,39
2,30,36
6,-2,22
8,33,26
7,-4,12
2,30,10
5,-1,-3
7,33,0
5,-4,-13
10,30,-16
9,-3,-28
9,31,-28
