counts,x,y
14,17,12
7,-17,12
6,16,26
14,-18,24
6,18,36
5,-17,38
7,15,52
7,-19,49
8,18,62
10,-17,64
7,17,75
11,-17,76
9,16,90
7,-19,87
10,11,59
12,11,94
3,24,59
6,22,95
6,35,58
3,36,94
3,29,50
8,39,84
12,20,44
8,40,73
4,10,40
3,37,63
7,-1,49
7,34,49
3,0,35
8,35,37
7,-1,25
2,33,23
3,0,9
10,35,12
6,0,-2
5,35,0
6,-1,-13
12,33,-15
4,1,-29
12,36,-26
9,30,-33
2,30,2
4,43,-33
10,43,2
8,54,-34
5,56,1
2,58,-24
6,51,9
4,60,-14
10,43,16
4,58,-3
5,33,21
9,55,12
5,19,12
9,55,24
10,20,25
12,56,36
5,20,38
6,53,53
4,18,49
8,54,64
4,18,63
8,55,75
5,20,77
6,53,90
8,18,88
5,49,59
7,49,94
7,62,60
4,60,95
6,75,60
2,73,96
5,70,52
6,77,87
2,62,45
8,79,76
12,53,40
4,77,66
5,39,49
10,74,49
5,39,36
9,75,37
10,38,25
6,74,23
12,40,10
7,75,12
9,38,0
5,74,-1
6,40,-15
9,76,-12
4,39,-25
5,74,-27
3,40,-41
6,76,-38
16,69,-45
3,69,-9
6,81,-46
8,82,-10
6,97,-43
13,93,-8
5,99,-33
9,86,0
