counts,x,y
6,17,12
7,-17,12
11,17,25
4,-18,24
7,18,36
6,-16,38
7,16,52
6,-19,49
11,18,62
7,-16,64
3,15,78
9,-19,75
4,18,88
10,-17,90
7,15,105
8,-19,101
13,11,73
10,11,108
7,22,74
5,20,109
58,16,65
4,24,100
6,8,58
39,25,89
74,-1,54
8,24,79
17,-14,63
25,20,63
21,-13,50
17,21,51
4,-15,39
14,20,37
7,-13,24
7,22,26
8,-14,11
4,21,11
3,-15,0
5,20,-2
6,-12,-17
6,22,-13
8,-15,-26
3,20,-29
4,-12,-43
10,22,-39
8,16,-47
8,16,-11
9,28,-45
1,25,-10
3,31,-35
3,19,-2
6,31,-24
9,10,3
6,28,-14
5,0,6
7,24,-1
5,-10,-1
6,25,9
10,-10,11
6,23,25
5,-12,22
6,25,35
11,-9,37
10,22,51
5,-12,48
8,25,61
9,-10,63
9,25,74
11,-10,76
11,23,89
3,-12,87
4,23,102
6,-12,100
12,18,71
7,18,106
8,29,72
6,27,107
5,24,63
7,31,98
2,16,56
6,33,87
7,6,52
12,31,77
5,-7,61
5,28,61
6,-6,47
13,29,49
9,-7,37
7,27,35
10,-5,22
4,29,24
7,-7,11
9,28,10
5,-8,0
5,27,-3
7,-5,-17
8,29,-13
3,-7,-26
11,27,-29
4,-5,-43
5,30,-39
4,-7,-53
4,27,-55
7,22,-59
7,22,-24
3,33,-58
4,31,-23
8,36,-48
7,25,-15
2,36,-38
8,16,-9
7,33,-27
6,5,-6
7,30,-14
7,-5,-14
9,30,-2
2,-4,-1
7,29,12
21,-6,10
6,30,22
8,-4,24
5,29,37
6,-6,35
3,30,48
3,-4,49
6,28,63
10,-6,61
10,28,76
6,-6,73
8,30,86
3,-5,88
5,27,103
10,-7,99
9,22,72
5,22,108
8,33,74
4,31,109
7,28,65
6,35,100
0,19,58
9,36,89
4,10,53
4,35,78
6,-3,62
10,31,63
11,-3,50
13,32,51
5,-4,38
7,31,37
6,-2,24
6,32,26
6,-4,14
3,31,12
4,-2,0
13,32,1
12,-4,-10
8,31,-12
8,-4,-23
7,30,-26
6,-2,-40
8,33,-36
8,-5,-50
9,30,-53
9,-2,-66
9,33,-63
2,-4,-76
4,30,-79
