counts,x,y
8,17,12
9,-17,12
11,17,24
8,-18,24
11,18,36
5,-16,38
7,16,52
9,-19,49
13,18,62
15,-16,64
7,15,78
4,-19,75
9,18,88
12,-17,91
9,15,105
9,-19,102
15,10,73
10,10,109
6,19,73
24,21,108
44,13,65
12,24,99
11,4,59
79,24,88
81,-5,55
18,22,77
35,-16,64
33,18,64
13,-18,52
13,17,49
6,-15,36
12,19,39
6,-15,24
6,19,26
7,-17,13
10,18,12
4,-15,-1
6,19,1
5,-17,-11
6,18,-13
5,-15,-26
8,19,-24
5,-16,-37
7,18,-38
2,13,-42
2,13,-7
4,22,-43
6,23,-7
7,26,-33
5,17,0
7,27,-23
4,9,7
3,25,-12
9,0,11
5,22,2
5,-13,2
5,22,14
11,-12,15
7,20,30
9,-15,27
8,22,40
5,-12,42
15,22,53
5,-13,54
8,23,65
11,-12,68
5,20,83
8,-15,78
3,23,92
4,-12,95
9,20,109
4,-14,105
6,15,76
13,15,112
2,24,76
4,26,111
12,18,68
6,29,101
7,9,62
7,29,91
7,0,58
7,26,81
6,-12,67
3,23,67
7,-11,53
6,24,55
7,-12,42
7,22,41
11,-11,28
5,24,30
7,-12,17
10,22,16
7,-11,2
7,24,4
13,-10,-9
2,24,-7
6,-12,-20
7,22,-22
8,-10,-36
8,25,-33
7,-10,-48
2,24,-47
12,18,-39
6,18,-4
9,29,-38
7,27,-3
6,32,-28
6,21,4
7,32,-17
3,11,10
5,29,-7
6,1,13
6,26,5
3,-9,5
6,26,17
6,-8,18
5,25,32
7,-10,30
9,26,43
8,-8,44
4,24,58
6,-10,55
1,24,71
1,-10,68
7,26,81
6,-9,83
5,23,98
7,-11,94
11,18,68
12,18,103
7,29,69
5,27,104
5,24,60
9,31,95
4,15,53
8,32,84
5,5,49
4,31,74
10,-7,58
6,27,58
5,-6,45
4,28,46
8,-8,34
5,27,32
6,-6,18
6,29,21
5,-8,8
8,27,6
10,-7,-4
9,27,-5
3,-5,-20
10,29,-16
7,-8,-30
8,27,-32
6,-5,-46
4,29,-42
8,-7,-56
13,27,-58
