counts,x,y
0,17,12
0,-17,12
0,17,25
0,-18,24
0,18,36
0,-16,39
0,18,49
0,-16,51
0,16,64
0,-18,61
0,18,74
0,-16,76
0,17,89
0,-18,87
0,16,102
0,-18,100
0,11,71
0,11,106
0,19,70
0,21,105
0,20,66
0,31,100
0,19,63
0,40,92
0,17,60
0,45,82
0,6,68
0,42,68
0,7,55
0,42,56
0,5,44
0,41,42
0,7,30
0,42,32
0,7,17
0,43,19
0,5,7
0,41,4
0,8,-9
0,43,-6
0,5,-19
0,41,-22
0,37,-12
0,37,22
0,46,-13
0,48,21
0,56,-9
0,49,24
0,66,-2
0,48,28
0,72,6
0,47,31
0,69,22
0,33,22
0,69,34
0,34,35
0,68,49
0,33,47
0,67,62
0,32,59
0,69,72
0,34,74
0,67,88
0,31,85
0,69,98
0,34,101
0,69,111
0,34,113
0,63,69
0,62,105
0,74,70
0,72,106
0,75,67
0,82,102
0,74,63
0,91,94
0,73,60
0,98,85
0,59,69
0,95,69
0,60,55
0,96,57
0,59,45
0,94,43
0,60,30
0,96,32
0,59,19
0,94,18
0,60,5
0,96,7
0,59,-5
0,94,-6
0,60,-19
0,96,-17
0,59,-30
0,94,-31
0,90,-23
0,90,11
0,102,-22
0,99,13
0,111,-16
0,99,16
0,119,-8
0,98,20
0,125,2
0,96,23
0,121,15
0,86,15
0,122,26
0,86,28
0,120,42
0,84,39
0,122,52
0,87,55
0,119,68
0,84,65
0,122,78
0,87,81
0,119,95
0,84,91
0,122,104
0,86,107
0,114,62
0,114,98
0,125,63
0,123,99
0,126,60
0,134,95
0,125,56
0,143,87
0,124,53
0,149,78
0,110,62
0,146,62
0,112,48
0,147,50
0,110,37
0,145,35
0,112,21
0,148,24
0,110,11
0,145,8
0,112,-5
0,148,-1
0,110,-15
0,145,-17
0,112,-31
0,148,-28
