counts,x,y
5,17,12
7,-17,12
3,17,24
7,-17,24
7,16,38
8,-18,36
9,18,48
9,-16,50
12,16,63
5,-18,61
5,18,74
11,-17,75
4,16,89
5,-18,86
9,18,99
6,-17,101
3,16,114
2,-19,112
6,12,70
7,12,105
37,23,70
6,21,106
12,23,67
62,31,102
77,23,63
14,40,94
11,21,60
79,47,85
25,8,69
76,43,69
9,9,55
14,45,57
12,9,43
7,44,45
9,8,32
10,43,30
3,10,17
4,45,20
5,8,7
2,43,5
3,10,-7
4,45,-5
2,8,-18
9,43,-20
7,10,-33
6,45,-30
6,38,-24
9,38,10
8,49,-23
7,47,12
5,59,-18
4,47,15
10,67,-9
12,46,18
7,72,0
8,44,22
4,69,13
6,33,13
6,69,25
6,34,26
3,68,40
3,32,38
18,69,50
13,34,52
8,67,65
15,32,63
7,69,76
9,34,77
4,67,91
8,32,88
4,69,101
10,34,103
10,67,116
12,32,114
6,62,83
5,62,119
4,73,84
8,71,120
6,74,81
9,81,116
4,73,77
8,90,108
3,72,74
8,97,99
15,58,83
6,94,83
7,60,69
6,95,71
10,57,59
14,93,56
12,60,43
9,95,46
9,57,33
4,93,30
9,60,17
8,95,20
7,57,7
3,93,4
7,60,-9
5,95,-5
10,58,-19
11,93,-21
4,60,-35
6,96,-31
5,87,-26
4,88,9
6,96,-27
10,98,8
6,107,-23
8,99,11
9,116,-15
8,98,15
8,122,-6
8,97,18
5,119,9
7,84,9
8,120,21
7,84,22
4,118,36
3,82,33
12,120,46
6,85,49
5,118,62
2,82,59
6,118,74
5,83,73
6,119,85
2,84,86
4,118,100
8,82,97
17,119,110
5,84,112
3,112,68
7,113,104
4,121,67
4,123,103
7,122,64
11,133,98
6,121,60
1,141,89
2,119,57
12,147,79
10,108,65
7,143,66
9,109,52
10,144,54
4,107,41
4,143,40
7,106,29
3,142,26
3,109,13
4,144,16
6,108,2
6,144,3
4,107,-8
5,143,-10
8,109,-24
4,144,-21
8,107,-34
5,143,-36
