counts,x,y
8,17,12
7,-17,12
3,17,24
7,-17,24
4,18,36
4,-16,37
8,16,51
5,-18,48
9,18,61
5,-16,63
3,16,77
5,-19,74
7,16,88
3,-18,87
8,16,101
4,-19,99
5,18,112
7,-16,115
7,10,70
1,10,105
4,20,71
9,19,106
7,21,67
9,29,102
4,20,64
3,38,94
11,19,60
5,45,84
4,6,69
5,41,69
5,7,55
10,42,58
10,4,45
6,40,42
9,7,29
1,43,32
3,4,19
6,40,15
5,7,2
7,43,6
7,4,-6
9,40,-9
4,7,-22
8,42,-20
7,36,-26
5,36,8
4,45,-27
5,47,7
2,55,-24
5,48,10
8,65,-16
7,48,14
5,71,-7
1,46,17
9,68,8
3,32,8
7,69,20
3,33,22
8,67,36
8,31,32
6,69,45
10,34,48
6,66,62
4,31,58
8,67,73
6,32,72
2,69,84
9,33,86
3,67,98
2,31,96
3,69,108
4,33,111
5,61,67
6,61,103
8,70,66
2,73,101
5,70,62
7,82,96
6,69,59
3,90,87
6,67,56
3,96,77
3,57,64
7,92,64
5,57,51
4,93,52
8,56,41
5,91,38
7,58,26
10,93,28
6,17,12
4,-17,12
5,16,26
9,-18,24
5,19,36
6,-16,39
7,16,53
7,-19,49
6,19,62
5,-16,66
4,18,76
6,-16,77
4,17,91
12,-18,88
3,19,100
4,-15,104
8,17,116
2,-18,114
7,13,88
11,13,123
5,22,88
7,22,123
8,23,84
6,32,118
8,22,81
7,41,111
8,20,77
8,47,101
4,8,86
13,44,86
7,8,73
12,44,73
11,7,62
4,42,59
5,9,46
5,45,49
8,8,35
6,43,35
6,10,20
8,45,23
4,7,11
9,42,7
13,10,-5
3,45,-2
10,7,-14
9,42,-18
9,37,-22
11,37,13
4,45,-23
4,48,12
4,55,-19
8,49,15
6,65,-12
4,48,18
5,72,-2
6,47,22
9,68,13
4,33,13
8,69,25
9,33,26
4,70,36
3,35,40
7,67,53
3,32,50
5,71,61
5,36,66
11,68,79
8,32,76
7,69,89
7,34,90
2,67,104
6,32,101
5,69,115
12,33,115
7,67,130
4,31,127
12,64,86
9,64,121
13,74,86
0,74,122
13,75,83
4,84,117
4,74,79
4,93,109
8,72,76
3,99,99
9,60,85
5,95,85
10,60,72
7,96,72
11,60,60
3,95,60
6,61,46
6,96,48
4,59,36
4,95,34
9,61,22
7,96,23
5,59,12
5,94,9
9,58,0
13,94,-3
18,61,-16
5,96,-13
6,57,-24
6,92,-30
6,90,-19
8,90,15
6,98,-21
9,102,14
4,109,-17
2,103,17
3,118,-10
8,102,20
6,125,-1
12,101,24
8,122,15
7,87,15
6,123,26
10,88,28
5,121,41
10,86,39
3,124,50
8,89,54
3,122,66
6,86,64
10,124,76
9,88,79
6,125,88
8,89,92
4,122,105
2,86,102
9,125,113
9,90,118
3,116,72
10,116,108
4,126,72
9,126,108
8,127,69
5,137,103
5,126,65
5,145,95
3,124,62
6,151,85
11,112,71
3,148,71
8,112,57
2,148,58
5,111,46
11,146,43
7,113,30
5,149,33
5,110,22
5,145,17
7,113,4
17,149,7
9,111,-5
6,147,-6
6,114,-21
4,149,-17
5,110,-29
9,145,-34
7,113,-47
2,149,-43
