counts,x,y
8,17,12
12,-17,12
9,16,25
3,-18,23
9,18,35
8,-16,38
18,16,51
6,-18,49
11,16,63
6,-18,62
8,18,74
7,-17,76
6,16,89
8,-19,86
7,18,99
14,-17,101
1,18,111
4,-16,114
13,10,70
5,10,105
12,21,70
8,19,106
6,22,67
22,30,101
51,21,63
10,39,94
12,19,60
86,45,84
13,6,69
76,42,69
13,7,55
8,43,57
7,5,45
9,41,42
9,8,28
6,43,31
8,5,19
3,41,16
10,8,2
9,43,5
8,5,-7
12,41,-10
6,8,-22
4,43,-19
6,35,-14
12,35,21
9,44,-15
8,46,20
10,54,-11
7,47,23
11,63,-4
6,47,27
4,70,5
9,45,30
6,67,21
11,31,21
11,68,32
8,32,34
13,66,48
13,30,45
8,66,60
23,31,58
10,67,71
2,32,72
8,66,85
13,30,83
9,68,96
7,32,98
5,62,67
10,62,102
6,70,66
5,73,101
4,71,62
7,82,96
7,70,59
6,91,88
4,68,56
2,96,77
7,57,64
7,92,64
10,55,53
4,91,50
15,58,37
7,93,39
7,55,27
8,91,24
8,55,14
9,91,12
5,57,0
6,92,1
15,57,-12
6,93,-11
10,55,-23
10,90,-26
5,58,-39
4,93,-36
4,85,-30
12,85,4
7,96,-29
8,94,5
8,106,-23
7,94,9
8,115,-15
9,93,13
8,120,-4
5,91,16
12,116,8
6,81,7
10,117,19
6,82,21
12,115,35
3,79,32
6,118,44
7,82,48
7,115,61
3,80,58
6,118,70
9,82,74
5,115,87
6,79,84
5,115,99
7,80,97
8,110,54
3,110,90
9,121,55
3,120,91
6,122,52
5,130,87
12,121,48
3,139,79
8,120,45
2,146,69
6,107,54
5,142,54
7,108,39
4,143,41
5,105,29
5,141,26
4,105,16
8,141,13
4,107,0
12,143,3
2,105,-9
4,141,-11
8,107,-24
7,143,-22
9,105,-34
3,141,-36
