counts,x,y
0,17,12
0,-17,12
0,16,26
0,-19,23
0,18,36
0,-16,39
0,15,52
0,-19,49
0,18,62
0,-17,64
0,15,78
0,-19,75
0,18,88
0,-17,91
0,15,105
0,-19,101
0,10,73
0,10,109
0,21,74
0,19,110
0,22,71
0,29,106
0,22,67
0,39,99
0,20,64
0,45,89
0,7,73
0,42,73
0,7,60
0,43,61
0,6,49
0,41,47
0,8,34
0,43,36
0,6,23
0,42,22
0,5,11
0,41,9
0,8,-4
0,43,-1
0,5,-14
0,41,-17
0,8,-30
0,43,-27
0,35,-21
0,35,13
0,47,-20
0,44,14
0,57,-15
0,44,18
0,65,-6
0,43,21
0,70,3
0,41,24
0,66,16
0,31,16
0,65,30
0,30,28
0,67,41
0,31,42
0,65,56
0,29,53
0,67,66
0,31,68
0,65,81
0,29,79
0,67,91
0,31,93
0,64,107
0,29,104
0,61,62
0,61,97
0,71,63
0,70,98
0,72,59
0,80,94
0,72,56
0,89,87
0,70,52
0,96,77
0,57,61
0,92,61
0,58,47
0,94,50
0,56,37
0,91,34
0,59,20
0,94,24
0,56,11
0,91,8
0,59,-5
0,94,-2
0,56,-15
0,92,-17
0,59,-31
0,94,-28
0,86,-22
0,86,12
0,95,-23
0,97,12
0,106,-18
0,97,15
0,115,-11
0,97,19
0,121,-1
0,95,22
0,118,13
0,82,13
0,116,28
0,81,25
0,118,38
0,82,40
0,116,52
0,81,50
0,118,63
0,82,65
0,116,78
0,81,76
0,118,88
0,82,90
0,116,103
0,80,101
0,112,59
0,112,94
0,123,60
0,121,95
0,124,56
0,131,91
0,123,53
0,140,84
0,122,49
0,147,74
0,108,58
0,144,59
0,107,47
0,143,45
0,109,33
0,144,34
0,107,22
0,143,20
0,109,7
0,144,9
0,107,-3
0,143,-4
0,109,-18
0,145,-15
0,107,-28
0,143,-30
